ID,name,sku,description,short_description,category_od,brand,cost,price,compare_at_price,currency,quantity,low_stock_threshold,track_quantity,stock_status,weight,length,width,height,material,model,colors,sizes,status,visibility,featured,available_online,supplier_id,supplier_sku,lead_time,minimum_order_quantity,seo_title,seo_description,tags,bar_code,warranty_period,country_of_origin,HSCode,CreatedBy,CreatedAt,UpdatedAt
58,Class Watch,2166C2C7,Mrs write culture easy which have ball. Certain certainly son.,Mr summer those agency glass indeed set.,1,Reebok,30.9,187.54,233.261306641797,USD,26,14,True,out_of_stock,3.497,68.03,84.54,25.49,Plastic,Ns-71435,"White, Red, Green","XL, XXL",draft,visible,True,True,10,09B6B73D-C,22,1,Class Watch at Best Price,Mr summer those agency glass indeed set.,"['fitness', 'gear']",08C1F8D1-A0D,16,USA,715647,5,2023-08-19 00:09:54,2024-07-31 02:41:13
59,Chance T-shirt,5E22ED53,Join able course surface he report success. Want study president compare data agree. Leg skin thank guy. Skill exactly house its result plan bag.,Rest recently often.,12,Lenovo,277.27,308.34,322.501111188471,USD,22,6,True,low_stock,4.348,36.5,80.74,29.51,Glass,xY-22908,"White, Blue",L,archived,hidden,True,True,4,586756C7-3,15,1,Chance T-shirt at Best Price,Rest recently often.,"['electronics', 'new']",A6AD83CF-57A,20,Germany,789655,2,2024-05-21 12:33:55,2025-04-23 01:29:50
60,If T-shirt,CFDCC637,Watch enter could. Development style everyone oil. Public we administration summer something language.,Recognize child series natural attorney little.,18,Sony,326.57,377.74,,USD,2,14,True,in_stock,4.834,11.11,70.85,25.98,Cotton,yt-65029,"Blue, Red","L, S, XL",archived,visible,False,True,15,EDB00452-C,17,1,If T-shirt at Best Price,Recognize child series natural attorney little.,"['fitness', 'gear']",1472F2E5-52D,18,Germany,539488,3,2025-01-23 16:10:01,2025-05-02 04:16:30
61,Line Phone,8A1BF68F,Show piece little easy raise. Reveal with city choose team.,Hot visit big other administration let thought.,16,HP,187.35,256.21,,USD,5,9,True,in_stock,2.835,57.23,36.49,17.12,Cotton,oI-91699,White,"S, XXL, M",draft,hidden,False,True,1,124FB288-B,14,1,Line Phone at Best Price,Hot visit big other administration let thought.,"['fashion', 'summer']",B18C6453-35C,19,USA,689610,5,2024-06-05 09:55:40,2024-08-21 19:00:14
62,Tax T-shirt,47432F3E,Difficult usually suffer next memory ability. Out they establish same spend raise oil dinner.,Purpose those body along hotel forget white.,4,Asus,480.15,555.52,575.627355163647,USD,55,11,True,out_of_stock,2.872,44.6,80.07,8.42,Glass,IC-40144,"Black, Blue, Green",L,draft,visible,False,True,10,9CB0E43F-7,25,1,Tax T-shirt at Best Price,Purpose those body along hotel forget white.,"['sale', 'trending']",ABA64B40-02D,11,China,185460,9,2024-12-30 14:33:07,2025-06-02 05:13:30
63,Price Monitor,7AE85DC2,Start decision street door may. Key call wear sort act attorney during research.,Task cover both go else fill.,2,Adidas,433.14,525.41,544.700126484063,USD,2,14,True,out_of_stock,0.636,47.89,10.48,2,Metal,zJ-33359,Blue,"S, M",draft,visible,True,True,19,D9B27221-0,29,1,Price Monitor at Best Price,Task cover both go else fill.,"['fitness', 'gear']",23A01022-AF5,19,Germany,155925,9,2024-05-11 10:34:08,2025-06-14 05:52:27
64,Scene Sneakers,8BDC49A8,What rule machine marriage gas how coach floor.,Responsibility husband thank hear same.,4,Sony,137.15,319.24,,USD,4,7,True,in_stock,4.177,49.68,90.48,25.17,Metal,lU-10055,Yellow,"S, XXL",draft,visible,True,True,12,C1D3C22D-D,16,1,Scene Sneakers at Best Price,Responsibility husband thank hear same.,"['sale', 'trending']",BBCB9790-12E,8,Vietnam,618394,8,2024-03-13 15:41:49,2024-07-13 07:44:49
65,Among Watch,95354B9B,Wait cultural explain stage. First nothing well near. Agent skill charge gun far fire report.,Really lose into century.,14,Nike,216.93,332.77,382.067384747588,USD,8,12,True,in_stock,0.202,39.44,58.12,3.91,Cotton,Tq-08762,Red,"XL, L",draft,hidden,False,True,9,8D318361-9,18,1,Among Watch at Best Price,Really lose into century.,"['fitness', 'gear']",FEF95802-1AE,17,Vietnam,613893,7,2024-06-19 18:03:09,2024-09-11 06:24:33
66,Create Bag,693F71A4,Couple stage bank couple deep where.,Sit oil central.,1,Samsung,187.95,273.14,,USD,24,12,True,discontinued,0.8,94.13,54.75,22.3,Leather,fL-34593,Red,XXL,active,hidden,False,True,2,47CEF7BF-4,28,1,Create Bag at Best Price,Sit oil central.,"['electronics', 'new']",2E6F3585-29E,10,Vietnam,372634,8,2024-03-26 17:03:06,2025-02-09 13:50:09
67,Whom Phone,76526884,Walk light key attorney. Activity offer human investment. Fast up structure prepare.,Catch beat wear top beat only forget.,13,Apple,369.37,553.51,563.555340213559,USD,3,7,True,low_stock,1.636,94.82,35.87,1.11,Glass,Mg-44281,"Red, Black",M,draft,visible,True,True,5,40B44FC2-D,13,1,Whom Phone at Best Price,Catch beat wear top beat only forget.,"['fashion', 'summer']",F4E4EBA3-DB2,11,China,835212,6,2024-11-03 19:22:46,2024-09-01 10:26:06
68,Close Monitor,18958AD3,Age experience second. Mr responsibility plan if over. Indeed actually author choice I his must election.,Laugh check edge side guy mind avoid trouble.,4,Dell,51.08,140.42,187.439772276561,USD,83,9,True,in_stock,4.54,31.93,59.99,25.82,Metal,lK-91475,Yellow,XL,draft,hidden,False,True,14,2F5B52BF-D,19,1,Close Monitor at Best Price,Laugh check edge side guy mind avoid trouble.,"['fitness', 'gear']",D2563EDE-170,11,India,473115,6,2025-02-04 13:05:07,2025-01-22 20:51:09
69,Experience Bag,23EDCAEF,Season health theory economy. Collection light event by company. Hit window whatever current maybe week born.,Anyone we manage among.,10,Sony,162.87,169.72,,USD,1,6,True,in_stock,1.817,66.72,95.02,3.97,Metal,WU-41466,Black,M,draft,visible,True,True,18,A4C69A5E-5,4,1,Experience Bag at Best Price,Anyone we manage among.,"['fitness', 'gear']",D3E96318-F16,17,USA,594499,4,2025-05-09 20:00:24,2024-08-12 02:36:19
70,Here Monitor,A9A3AB8C,Thought water cover court father sound soldier enter. Arrive subject away with measure operation relate. Tonight summer maybe bed.,Strategy tax join sense officer language.,16,Nike,375.9,418.07,466.257218296136,USD,4,15,True,in_stock,4.098,89.34,16.72,21.58,Wood,fv-25873,"Black, White",S,active,visible,True,True,18,02E66CB1-3,7,1,Here Monitor at Best Price,Strategy tax join sense officer language.,"['sale', 'trending']",D5C583F8-62E,6,Vietnam,229046,10,2024-03-29 04:12:11,2024-10-19 14:57:55
71,Deep Watch,4A496D03,Population notice alone personal feeling. Cover hear from song. Success success head early American start machine.,Effort here under member military bed.,1,Apple,272.13,360.98,,USD,13,14,True,out_of_stock,0.864,63.96,33.94,25.7,Leather,HF-58613,Black,"XXL, S",draft,visible,True,True,10,88BDD97F-E,5,1,Deep Watch at Best Price,Effort here under member military bed.,"['fashion', 'summer']",25AB5FAB-23D,24,Germany,526132,7,2024-09-20 20:05:48,2025-02-20 01:04:49
72,Government Sneakers,4BF91EE1,Despite author write. Politics although fight teacher easy. Truth card will information young.,Director understand nation according him economic how message.,1,Apple,225.54,239.17,285.952593497257,USD,50,7,True,low_stock,3,75.67,63.29,29.58,Rubber,jE-30804,"Green, Red","S, XXL, M",draft,hidden,True,True,15,E561D92A-7,3,1,Government Sneakers at Best Price,Director understand nation according him economic how message.,"['fashion', 'summer']",44BA8558-F79,23,China,364009,7,2025-05-20 03:52:38,2025-01-11 15:28:55
73,When Watch,1621A83A,Job commercial crime around company determine act produce. Line enough each international.,Chair challenge sense form word.,16,Dell,209.35,263.49,305.610881691576,USD,71,13,True,in_stock,3.903,85.07,19.27,18.42,Cotton,Ne-76100,Blue,XL,active,hidden,True,True,5,433F3A16-A,16,1,When Watch at Best Price,Chair challenge sense form word.,"['fitness', 'gear']",A3C3B812-1D8,14,Japan,249985,7,2024-12-07 18:10:07,2024-09-09 02:52:10
74,Use Headphones,B5569A54,Source attack stuff seven. See trade community would quality some us. Specific sign big billion figure work.,Peace meet imagine building score read force.,18,Dell,163.27,325.72,374.31287550753,USD,96,6,True,in_stock,3.181,21.66,92.42,25.85,Cotton,GO-47653,Black,"XL, XXL",archived,visible,False,True,20,E3540080-8,7,1,Use Headphones at Best Price,Peace meet imagine building score read force.,"['sale', 'trending']",CE3646C6-4A2,11,India,841659,9,2025-04-20 18:09:24,2025-05-27 15:19:31
75,Fact Bag,AD83D6C7,Who unit material talk magazine deep. Suggest argue opportunity serve.,Student great drive build adult too practice.,14,Lenovo,244.9,419.45,,USD,91,14,True,low_stock,0.737,20.96,76.49,14.08,Plastic,Ij-08835,White,"S, XL, XXL",active,hidden,True,True,17,11DA6E29-2,24,1,Fact Bag at Best Price,Student great drive build adult too practice.,"['fashion', 'summer']",9C4AE3DF-584,18,Germany,411690,8,2025-01-16 01:18:31,2025-01-29 16:19:36
76,Describe T-shirt,1344BDC1,Election natural design deal. Piece make eat often. Soon thing receive live ask market range.,While huge moment.,6,HP,268.2,415.08,,USD,54,14,True,low_stock,4.222,59.69,10.81,23.19,Glass,hv-77073,"Black, Green","XL, M",draft,visible,False,True,17,643169D3-2,11,1,Describe T-shirt at Best Price,While huge moment.,"['sale', 'trending']",727841A5-4C9,23,India,666029,9,2025-01-14 08:19:51,2024-11-28 12:34:26
77,Decide Bag,42D98D1C,Success second glass here. Difficult pull save mission cell.,Offer letter leave national.,3,Samsung,170.22,251.48,275.093169744711,USD,51,7,True,low_stock,4.013,94.13,34.02,14.56,Leather,nq-82975,"Black, Yellow, Blue",XXL,draft,visible,True,True,1,EA9AA169-A,29,1,Decide Bag at Best Price,Offer letter leave national.,"['fitness', 'gear']",640CD962-552,23,India,575025,1,2024-03-19 21:38:08,2025-06-18 22:22:11
78,Three Headphones,B3E88A69,Suggest investment theory teacher morning. Class almost turn purpose fly others. Window force reach.,Dark glass method use money.,5,Adidas,470.85,505.78,523.75480032333,USD,22,15,True,low_stock,1.259,38.32,56.28,28.54,Metal,Ht-91022,"Green, White, Blue",M,draft,hidden,True,True,2,8BB47F62-B,20,1,Three Headphones at Best Price,Dark glass method use money.,"['fashion', 'summer']",61BB7E83-A06,21,China,623679,2,2024-04-26 03:09:59,2024-06-28 11:53:52
79,Sure Laptop,B8388FA9,Stop religious dog student movement listen. Pattern suffer could picture PM real may. Mother reveal condition thought industry natural science.,Black difficult international clear sure science place.,9,Samsung,370.5,392.55,438.108225559568,USD,67,5,True,out_of_stock,1.49,24.42,61.9,17.36,Metal,Jy-29169,"Blue, Black",L,archived,hidden,False,True,7,08E99214-6,14,1,Sure Laptop at Best Price,Black difficult international clear sure science place.,"['electronics', 'new']",EDA7FF17-DCA,10,Vietnam,393037,8,2024-11-10 08:06:26,2025-01-13 22:12:37
80,People Laptop,5AE72D45,Successful check section indeed economy.,Believe protect management.,17,Dell,187.96,254.46,299.736809188026,USD,53,6,True,in_stock,0.384,20.08,54.67,1.05,Rubber,TO-82726,"Red, Blue","M, XXL, L",archived,visible,True,True,5,5C2C2F7C-0,22,1,People Laptop at Best Price,Believe protect management.,"['sale', 'trending']",14C18969-94F,10,Germany,652978,4,2024-02-09 02:20:06,2025-02-25 22:28:53
81,Just Monitor,1D2937FE,Past son least she force avoid low. Participant will as teacher.,Magazine road general begin miss.,9,LG,59.33,154.82,178.085978706311,USD,31,13,True,discontinued,3.08,65.17,21.78,18.07,Rubber,fb-03369,Black,"M, L",archived,hidden,True,True,9,20C1B825-B,21,1,Just Monitor at Best Price,Magazine road general begin miss.,"['sale', 'trending']",C008EB81-DA1,14,Germany,922809,9,2025-04-24 06:33:03,2024-10-10 14:12:33
82,Fear Laptop,5F74B7A4,Open him Mr visit. Fire success doctor off. Organization experience exist popular herself leader.,Throughout image officer support agree.,2,Dell,25.01,201.42,219.281945477689,USD,71,6,True,discontinued,3.064,95.53,42.86,21.96,Metal,gg-32923,"White, Blue",M,archived,visible,True,True,6,32C70018-1,24,1,Fear Laptop at Best Price,Throughout image officer support agree.,"['fitness', 'gear']",D571CE4C-386,14,India,240748,2,2024-03-09 21:58:20,2024-09-26 03:30:18
83,Education Sneakers,935A6EBA,Seek science trade carry social play. Edge position pretty hold. Factor yeah goal fact black role. Ever morning image these food.,Shake arrive road chance show bill include.,17,LG,348.13,442.6,,USD,7,7,True,discontinued,4.008,86.71,56.29,11.27,Metal,JI-28930,Green,"S, XL",draft,visible,False,True,4,164532E7-D,8,1,Education Sneakers at Best Price,Shake arrive road chance show bill include.,"['fashion', 'summer']",011E012E-B16,6,China,709346,9,2024-07-06 15:01:51,2025-01-12 09:35:04
84,Single Monitor,C61CBA35,Indicate pay material financial pick. Position teach ten sign factor.,General get fund participant be someone eye.,8,Sony,20.92,180.64,216.173550236619,USD,39,9,True,out_of_stock,2.998,40.25,15.6,20.03,Rubber,IJ-79198,Blue,"XXL, S",active,visible,True,True,12,BE0E6080-9,23,1,Single Monitor at Best Price,General get fund participant be someone eye.,"['fitness', 'gear']",B409A17F-4DB,18,Italy,991341,5,2023-12-20 08:44:45,2024-09-13 11:07:58
85,Each Phone,C838E9FE,With law outside use hold sure better. Choose become area option they plan mission. Member view national expert style.,Spring there site discuss himself kind appear.,4,Adidas,339.95,502.88,,USD,74,11,True,discontinued,3.519,12.22,90.53,17.64,Wood,JE-41338,"Blue, Green",M,active,hidden,True,True,4,54123C79-A,4,1,Each Phone at Best Price,Spring there site discuss himself kind appear.,"['sale', 'trending']",303C9981-2F2,14,Italy,819213,7,2024-02-15 23:54:09,2025-02-11 02:14:43
86,Everybody Watch,E9FCB783,Chair old gas same near food blood. Sister gas purpose voice. Short black off low.,Paper would technology magazine.,2,Adidas,410.85,439.44,456.724373141148,USD,98,7,True,low_stock,2.021,80.88,13.73,6.54,Leather,Ex-41345,Yellow,"M, S, L",active,hidden,False,True,6,5EF6A933-9,10,1,Everybody Watch at Best Price,Paper would technology magazine.,"['fitness', 'gear']",A962599F-914,9,Japan,813979,3,2025-04-26 09:02:31,2024-10-20 00:02:01
87,Staff Phone,69AEF49C,Test field politics throw learn science. New deep city. Sense life various body senior third place reduce.,Still agree effect matter.,10,Samsung,443.42,618.35,,USD,6,9,True,out_of_stock,3.059,49.15,47.74,8.98,Glass,YY-91044,Red,XXL,draft,visible,False,True,20,51E50F73-7,26,1,Staff Phone at Best Price,Still agree effect matter.,"['electronics', 'new']",4C1B4B08-06B,15,China,197516,5,2025-04-03 04:06:41,2024-07-01 01:12:17
88,Position Phone,B456FA82,Keep age you expect customer. World risk series court his land.,To its shoulder pick.,10,LG,149.63,257.78,289.740598800651,USD,95,8,True,out_of_stock,4.251,83.63,81.69,3.82,Wood,iM-65079,"Yellow, Black, White",L,archived,visible,False,True,13,2283FD57-0,16,1,Position Phone at Best Price,To its shoulder pick.,"['fashion', 'summer']",B3AAB1AA-6ED,23,Vietnam,836250,4,2024-08-01 01:26:38,2024-12-06 03:38:32
89,Form Watch,B22B38F0,Report debate happen protect record news move. Agreement wide three audience sure fly north. Anything television husband usually. Paper alone for talk than environment she.,Significant ago policy security.,1,Lenovo,408.21,591.56,,USD,73,15,True,discontinued,2.016,54.33,85.05,12.59,Plastic,Hz-31147,Red,"XXL, L",draft,visible,True,True,12,95C04114-F,4,1,Form Watch at Best Price,Significant ago policy security.,"['fashion', 'summer']",41FE0572-B37,6,Italy,226903,2,2025-06-10 09:56:25,2025-02-25 17:52:37
90,Paper Bag,3A52F350,Pattern majority great. Sister remember view dog her thousand.,Child prepare send realize skill return practice special.,18,Reebok,165.7,280.95,,USD,68,11,True,discontinued,2.901,45.98,30.21,3.52,Cotton,Ks-45189,White,"XXL, XL",draft,visible,False,True,18,666CF7E7-B,16,1,Paper Bag at Best Price,Child prepare send realize skill return practice special.,"['electronics', 'new']",78F4C374-DC1,6,Italy,537025,7,2024-08-19 09:47:03,2025-01-02 15:45:22
91,Pressure Phone,92988C61,Central practice material hospital. Listen describe believe speak military.,Policy dark decide push detail.,19,Reebok,38.72,47.33,,USD,23,7,True,in_stock,3.421,20.25,26.9,3.98,Leather,AY-62835,"White, Black",XXL,active,visible,False,True,3,E8530846-8,19,1,Pressure Phone at Best Price,Policy dark decide push detail.,"['fashion', 'summer']",A2F33EDC-376,17,India,293509,10,2024-12-27 05:01:11,2024-08-18 01:39:07
92,Water Monitor,6A01B93A,Attack physical specific technology group table forget. Hard thought level from play public.,Feeling half design music.,19,Lenovo,123.55,229.79,261.690380184584,USD,46,11,True,low_stock,3.001,85.99,68.79,20.24,Leather,xo-41109,"Black, White, Red","XL, S",draft,visible,True,True,13,EDA0A461-5,25,1,Water Monitor at Best Price,Feeling half design music.,"['fashion', 'summer']",EA45C499-DC4,9,India,195455,7,2024-06-11 19:02:26,2025-03-30 03:41:25
93,Test Phone,3D9CC852,Mrs movement somebody fact. Provide hold remember military best by move bag.,Quite dog accept choice program use create mother.,18,Lenovo,244.71,316.46,359.289206418642,USD,12,11,True,low_stock,4.109,57.45,72.39,28.07,Leather,bu-31800,"Green, Yellow, Black",L,archived,visible,True,True,20,0DF03F38-E,16,1,Test Phone at Best Price,Quite dog accept choice program use create mother.,"['electronics', 'new']",6FEA7450-34A,19,Vietnam,133053,3,2024-10-15 15:12:24,2024-10-11 00:25:30
94,Season Monitor,2ADB05C7,Key half performance never song. Through man bar some police. Investment mention life lose.,Impact hair best.,2,Asus,176.44,228.59,239.259191998853,USD,78,13,True,low_stock,1.033,30.49,91.14,18.68,Leather,dF-11203,"Red, Yellow",XXL,archived,hidden,True,True,9,2B7BEDB4-3,10,1,Season Monitor at Best Price,Impact hair best.,"['fashion', 'summer']",9AA6C503-E15,12,Japan,434504,1,2023-07-10 23:35:56,2025-02-06 23:54:21
95,Grow Monitor,758FEC74,Tree run choice improve. View blue rise power friend now hope. Condition soon wide sure former hear book factor. Democratic majority sure my involve everybody option.,Fight time after true since.,8,Asus,74.56,124.02,,USD,68,15,True,in_stock,2.13,11.42,30.6,27.66,Cotton,of-86612,Blue,"XL, XXL",archived,hidden,False,True,13,4FBA2636-2,9,1,Grow Monitor at Best Price,Fight time after true since.,"['fashion', 'summer']",5F350E3E-076,14,Germany,662462,5,2025-03-14 01:18:23,2025-05-21 05:18:02
96,Business Headphones,B133EA45,Wish challenge detail door. See voice reduce large many participant material finish.,World reflect office move instead pressure.,2,Sony,176.31,186.5,201.586829903135,USD,48,6,True,discontinued,4.521,23.12,72.02,3.25,Wood,LC-97025,Green,"XXL, L",draft,visible,False,True,2,8397EA23-3,12,1,Business Headphones at Best Price,World reflect office move instead pressure.,"['fashion', 'summer']",B2BFE665-452,11,Italy,576435,4,2024-06-09 22:40:58,2025-01-20 06:37:48
97,Money Monitor,905243B2,Card executive international discussion she discuss region. Benefit effort condition according.,National institution know indeed give only.,12,Puma,176.01,360.01,,USD,27,10,True,discontinued,2.916,44.95,87.21,6.72,Plastic,YH-90529,"White, Green","L, XXL",draft,hidden,True,True,9,43A6CAB9-9,28,1,Money Monitor at Best Price,National institution know indeed give only.,"['fitness', 'gear']",834FE99D-BC7,7,Italy,660343,1,2023-11-05 17:03:21,2025-05-17 22:27:30
98,Central Bag,394F04C1,Bring practice few nearly relationship light. City decide alone why.,Person wonder lot hear single rise enjoy.,15,Asus,402.2,464.51,485.069999482243,USD,81,15,True,out_of_stock,3.726,96.24,58.24,28.15,Leather,mR-48535,Yellow,"XXL, M, S",archived,hidden,False,True,10,671916B3-0,5,1,Central Bag at Best Price,Person wonder lot hear single rise enjoy.,"['fitness', 'gear']",92EF1B7B-375,13,Vietnam,906276,1,2023-07-02 17:20:21,2024-07-24 02:52:14
99,Where Laptop,D2A2BB95,Statement power hold manage. Pm anything upon certain identify government off.,Bar writer worry prove news prepare peace.,14,LG,176.2,368.12,,USD,42,11,True,discontinued,1.03,49.14,61.41,29.14,Rubber,vu-45674,"Red, Green, Blue","XL, S, M",active,hidden,False,True,5,668F497A-8,8,1,Where Laptop at Best Price,Bar writer worry prove news prepare peace.,"['fitness', 'gear']",9F3B7A44-CE0,16,India,465042,3,2024-03-13 02:33:38,2024-09-13 10:01:29
100,Wide Laptop,A18B9671,Address prepare personal quite act. Rise media value suddenly for culture difficult.,Administration fill somebody become near artist way.,18,Puma,414.42,449.88,464.710290069332,USD,14,10,True,low_stock,0.3,75.88,38.35,15.23,Glass,Wy-90614,"White, Green, Blue",S,archived,visible,True,True,3,09E74617-1,24,1,Wide Laptop at Best Price,Administration fill somebody become near artist way.,"['fitness', 'gear']",4FAE393C-B13,10,Japan,911315,7,2024-10-06 00:36:31,2024-11-08 07:54:56
101,Try Sneakers,47E10DB1,Wide spend event relate can national itself approach. Off they card with. Paper from born open.,Really decade travel away better real charge.,8,Dell,299.59,432.67,,USD,33,9,True,discontinued,1.337,94.24,15.38,22.76,Cotton,NT-81406,Red,"L, XXL",archived,visible,False,True,10,38E75B24-8,2,1,Try Sneakers at Best Price,Really decade travel away better real charge.,"['fitness', 'gear']",B039A4DA-5BA,10,Japan,757321,1,2024-08-30 10:44:28,2024-09-21 04:23:19
102,Eight Headphones,E9E571BE,Economy wrong manager mother quickly. Project production reduce job collection word. Foot their media anything born build east learn.,Republican father commercial none.,7,Lenovo,320.33,473.05,507.972281134511,USD,53,9,True,low_stock,2.784,23.37,47.43,24.59,Plastic,oE-70861,Red,S,draft,hidden,True,True,13,65C54479-E,13,1,Eight Headphones at Best Price,Republican father commercial none.,"['electronics', 'new']",98344FC0-777,20,China,470962,8,2024-11-13 03:54:24,2025-03-30 06:04:47
103,Hope Headphones,DF30C19C,Strategy move suggest audience house TV help. Happy strategy society. Almost conference project his fine father.,Alone television never sign.,18,Reebok,131.37,206.96,,USD,7,8,True,discontinued,0.575,78.07,82.38,2.04,Wood,bC-77914,Green,XL,archived,visible,True,True,5,52154AD7-2,27,1,Hope Headphones at Best Price,Alone television never sign.,"['sale', 'trending']",7C4CF1C4-0E0,10,Germany,982215,4,2024-01-10 09:20:09,2025-06-13 01:03:08
104,Image Sneakers,E5DDD005,Matter safe them long edge nation seem rate. Big address executive that interview door east.,Help whether clear standard piece better.,13,LG,295.26,486.07,532.258311873822,USD,21,6,True,low_stock,3.805,31.98,21.76,17.01,Plastic,fZ-38060,"Green, Red","S, XXL",archived,visible,False,True,16,F897CC7F-8,23,1,Image Sneakers at Best Price,Help whether clear standard piece better.,"['fitness', 'gear']",5D4B3727-1E5,6,China,632294,2,2023-07-10 02:01:03,2024-10-03 10:56:02
105,Avoid Sneakers,267FCF27,City adult her power bill chance military.,Development indicate laugh ready.,13,Sony,30.68,72.05,,USD,61,6,True,discontinued,1.763,69.17,66.7,23.49,Wood,CT-38651,Red,"L, S, M",active,visible,False,True,3,CB8DF5A2-1,2,1,Avoid Sneakers at Best Price,Development indicate laugh ready.,"['fashion', 'summer']",E7C9107A-2BF,18,China,401244,2,2024-08-09 22:31:38,2025-05-02 12:52:38
106,Half Monitor,CE2AAC8F,North during need chair. Full better world activity party particularly.,Project toward then media huge main.,5,Samsung,438.34,536.19,581.646169776983,USD,18,11,True,out_of_stock,3.274,22.59,31.69,23.36,Metal,eQ-02429,"Green, Red, Blue","XXL, XL, M",active,hidden,False,True,12,D0FB6F80-5,6,1,Half Monitor at Best Price,Project toward then media huge main.,"['fashion', 'summer']",D54E5FA9-16D,15,USA,252095,6,2023-10-05 09:48:40,2024-06-29 10:33:08
107,Eat Sneakers,E7D86F66,Industry result positive fact station thought concern sign. Create bill meet weight.,His how girl push myself must better.,3,Dell,88.52,183.56,210.150589526214,USD,43,14,True,discontinued,4.967,25.22,40.69,21.77,Rubber,Ax-08311,"White, Red, Blue","XXL, S, M",active,visible,False,True,16,496AA84A-F,10,1,Eat Sneakers at Best Price,His how girl push myself must better.,"['fashion', 'summer']",C9B183E5-A0F,9,China,973104,4,2023-11-25 00:08:29,2024-09-02 19:39:09
108,Environment T-shirt,247DC2C1,Dark two safe. Most possible be with dog national move. Because two instead.,Interview travel really technology social decide.,1,Asus,320.98,451.96,474.868033199121,USD,78,11,True,low_stock,0.251,57.72,85.66,4.46,Glass,MZ-62095,Red,XL,archived,hidden,False,True,15,B8A6211D-A,29,1,Environment T-shirt at Best Price,Interview travel really technology social decide.,"['fashion', 'summer']",E870D03E-DCA,11,USA,222538,1,2023-10-01 03:29:34,2024-12-04 18:42:35
109,Page Phone,F63E5D7D,General ground school movie instead range prevent too. Cultural plan until set. Night far kitchen remember.,Word both research often.,13,Sony,420.6,607.03,,USD,73,15,True,discontinued,1.983,63.36,95.63,8.63,Metal,hE-13232,"Blue, Green, Red",S,active,hidden,False,True,7,D9510B3F-C,13,1,Page Phone at Best Price,Word both research often.,"['fitness', 'gear']",A4E761B3-2EA,18,India,339098,2,2023-08-04 15:26:18,2025-01-26 11:48:39
110,Outside Monitor,53C0BCE7,Floor study election week. Interesting individual kid western.,Senior single charge theory.,8,HP,149.74,193.94,,USD,71,13,True,in_stock,4.666,60.05,43.77,22.34,Rubber,Rj-51167,Blue,"XL, M, XXL",draft,hidden,False,True,16,6F56B2B2-5,10,1,Outside Monitor at Best Price,Senior single charge theory.,"['electronics', 'new']",AA9D2568-367,13,Germany,140669,8,2024-06-12 09:28:31,2025-03-14 13:34:05
111,Compare Headphones,34AE330E,Wind party per. Need gas value. Really Republican product throughout we.,Surface drug situation good who number war.,8,Samsung,404.61,600.98,645.397345290165,USD,38,7,True,in_stock,2.318,65.82,40.94,13.73,Glass,No-40565,"Green, Red","XXL, S, M",archived,hidden,False,True,15,10684C8F-C,19,1,Compare Headphones at Best Price,Surface drug situation good who number war.,"['fashion', 'summer']",8D1E88C0-005,7,India,133358,3,2024-10-08 06:17:15,2025-03-22 22:24:07
112,Trade Phone,3FB6D8D9,Well suddenly heavy four. Entire hand blue.,Cover product important knowledge feel already beat.,5,Asus,394.53,406.55,426.073623805417,USD,22,11,True,in_stock,3.12,72.41,36.06,7.02,Wood,Tl-51775,"Yellow, Red, White",XXL,archived,hidden,False,True,8,2A807AE3-A,19,1,Trade Phone at Best Price,Cover product important knowledge feel already beat.,"['electronics', 'new']",418E6DE4-C1E,10,India,335255,7,2024-02-23 08:40:33,2024-11-10 02:47:29
113,Art Monitor,E2A385F8,Into establish professional focus. Commercial put force college television large. Picture yeah gun family peace.,Many change almost why support worry especially draw.,2,Reebok,321.59,380.4,412.242051836147,USD,40,12,True,low_stock,4.583,28.3,81.99,28.46,Metal,Sl-34570,"Red, Blue","S, XL",draft,hidden,True,True,19,A3059FAE-6,15,1,Art Monitor at Best Price,Many change almost why support worry especially draw.,"['fitness', 'gear']",56CCD3DE-416,12,Italy,386447,3,2024-10-05 13:19:21,2024-10-29 06:20:53
114,Behavior Laptop,FE6F9F8C,Believe maybe network lay. Science chance level school half read position. Shoulder serve may without whether industry.,They peace president lay coach turn.,8,Adidas,408.4,458.75,,USD,83,15,True,low_stock,3.361,92.08,32.93,5.83,Wood,Lk-62064,"Yellow, Black, White","M, L",archived,visible,True,True,9,A95CE940-5,11,1,Behavior Laptop at Best Price,They peace president lay coach turn.,"['fashion', 'summer']",209FBBCC-957,15,China,680660,6,2023-11-07 01:40:28,2024-07-25 15:53:02
115,Discussion Laptop,C5A17298,Seem remember open citizen. Fine short need letter hand piece. Product decide will second sign type decade.,Mean ahead toward audience.,1,Reebok,399.23,429.89,,USD,48,13,True,in_stock,4.974,14.36,46.29,7.28,Plastic,lX-33759,"Blue, White, Green",M,active,hidden,True,True,18,143F748C-9,30,1,Discussion Laptop at Best Price,Mean ahead toward audience.,"['sale', 'trending']",118C8A57-A65,17,Vietnam,330852,8,2023-08-06 05:27:11,2024-10-18 14:34:43
